SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
5PF07867,Ethyl Phenyl Acetate 10% in DPG from PerfumersWorld,101-97-3,ETHYL PHENYLACETATE,Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,1.79,CCOC(=O)CC1=CC=CC=C1
3PF02759,Ethyl Phenyl Acetate from PerfumersWorld,101-97-3,ETHYL PHENYLACETATE,Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,1.79,CCOC(=O)CC1=CC=CC=C1
5ES13018,Ethyl Safranate 10% in DPG from PerfumersWorld,35044-57-6,"Ethyl 2,6,6-trimethylcyclohexa-2,4-diene-1-carboxylate",Unclassified,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),194.27,2.71,CCOC(=O)C1C(=CC=CC1(C)C)C
4ES06848,Ethyl Safranate from PerfumersWorld,35044-57-6,"Ethyl 2,6,6-trimethylcyclohexa-2,4-diene-1-carboxylate",Unclassified,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),194.27,2.71,CCOC(=O)C1C(=CC=CC1(C)C)C
8F3094001646,Ethyl Safranate from SimpleScentsDIY,35044-59-8,Ethyl safranate,Floral,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),194.27,2.85,CCOC(=O)C1=C(C=CCC1(C)C)C
5OP12472,Ethyl Salicylate 10% in DPG from PerfumersWorld,118-61-6,Ethyl salicylate,Mint,No description available,C9 O3,Salicylate,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),166.18,1.57,CCOC(=O)C1=CC=CC=C1O
3OP01253,Ethyl Salicylate from PerfumersWorld,118-61-6,Ethyl salicylate,Mint,No description available,C9 O3,Salicylate,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),166.18,1.57,CCOC(=O)C1=CC=CC=C1O
8F3094001699,Ethyl Vanillin (Powder) from SimpleScentsDIY,121-32-4,3-Ethoxy-4-hydroxybenzaldehyde,Gourmet (Sweet),Base,C9 O3,"Aldehyde, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),166.18,1.6,CCOC1=C(C=CC(=C1)C=O)O
5VV07559,Ethyl Vanillin 10% in DPG from PerfumersWorld,121-32-4,3-Ethoxy-4-hydroxybenzaldehyde,Gourmet (Sweet),Base,C9 O3,"Aldehyde, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),166.18,1.6,CCOC1=C(C=CC(=C1)C=O)O
1VV00179,Ethyl Vanillin from PerfumersWorld,121-32-4,3-Ethoxy-4-hydroxybenzaldehyde,Gourmet (Sweet),Base,C9 O3,"Aldehyde, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),166.18,1.6,CCOC1=C(C=CC(=C1)C=O)O
8F3094001886,Ethylene Brassylate (Musk T) from SimpleScentsDIY,105-95-3,Ethylene brassylate,Musk,No description available,C15 O4,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),270.37,3.38,C1CCCCCC(=O)OCCOC(=O)CCCCC1
3XU00180,Ethylene Brassylate from PerfumersWorld,105-95-3,Ethylene brassylate,Musk,No description available,C15 O4,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),270.37,3.38,C1CCCCCC(=O)OCCOC(=O)CCCCC1
3BH00181,Eucalyptol from PerfumersWorld,470-82-6,Eucalyptol,Green (Herbal),No description available,C10 O1,Ether,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),154.25,2.74,CC1(C2CCC(O1)(CC2)C)C
8F3094001864,Eugenol Nat from SimpleScentsDIY,97-53-0,eugenol,Woods (Agarwood),Base,C10 O2,"Allyl, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,2.13,COC1=C(C=CC(=C1)CC=C)O
3SP00184,Eugenol from PerfumersWorld,97-53-0,eugenol,Woods (Agarwood),Heart,C10 O2,"Allyl, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,2.13,COC1=C(C=CC(=C1)CC=C)O
8F3094001564,Evernyl (Powder) from SimpleScentsDIY,4707-47-5,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",Woods (Mossy),Base,C10 O4,"Ester, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),196.2,1.5,CC1=CC(=C(C(=C1C(=O)OC)O)C)O
5YY07815,Evernyl 10% in DPG from PerfumersWorld,4707-47-5,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",Woods (Mossy),Base,C10 O4,"Ester, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),196.2,1.5,CC1=CC(=C(C(=C1C(=O)OC)O)C)O
1YP00185,Evernyl from PerfumersWorld,4707-47-5,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",Woods (Mossy),Base,C10 O4,"Ester, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),196.2,1.5,CC1=CC(=C(C(=C1C(=O)OC)O)C)O
5XX07862,Exaltolide Pentadecanolide 10% in DPG from PerfumersWorld,106-02-5,Oxacyclohexadecan-2-one,Musk (Botanical),Base,C15 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),240.39,4.61,O=C1CCCCCCCCCCCCCCO1
5XX08283,Exaltolide Pentadecanolide 50% in DPG from PerfumersWorld,106-02-5,Oxacyclohexadecan-2-one,Musk (Botanical),Base,C15 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),240.39,4.61,O=C1CCCCCCCCCCCCCCO1
2XX00186,Exaltolide Pentadecanolide from PerfumersWorld,106-02-5,Oxacyclohexadecan-2-one,Musk (Botanical),Base,C15 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),240.39,4.61,O=C1CCCCCCCCCCCCCCO1
3LW00187,Farnesol from PerfumersWorld,4602-84-0,farnesol,Musk (Botanical),Base,C15 O1,Primary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),222.37,4.4,CC(=CCCC(=CCCC(=CCO)C)C)C
