SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
8F3094005315,Terpineol from SimpleScentsDIY,8000-41-7,Terpineol,Floral (Lilac),Heart,C10 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.5,CC1=CCC(CC1)C(C)(C)O
3KC00431,Terpinolene from PerfumersWorld,586-62-9,TERPINOLENE,Green (Herbal),No description available,C10,Hydrocarbon / Other,Aliphatic,No,Top Note,Standard (Alcohol Compatible),136.24,3.45,CC1=CCC(=C(C)C)CC1
3LK00432,Terpinyl Acetate from PerfumersWorld,80-26-2,ALPHA-TERPINYL ACETATE,Green (Herbal),No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,3.07,CC1=CCC(CC1)C(C)(C)OC(=O)C
3RL03873,Tetrahydro Geraniol from PerfumersWorld,106-21-8,"3,7-Dimethyloctan-1-ol",Floral,No description available,C10 O1,Primary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),158.28,2.83,CC(C)CCCC(C)CCO
3LM00435,Tetrahydro Muguol from PerfumersWorld,41678-36-8,"3,7-Dimethylocten-2-ol",Unclassified,No description available,C10 O1,Hydrocarbon / Other,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,3.52,CC(C)CCCC(C)C(=C)O
5PS09241,Thymol 10% in DPG from PerfumersWorld,89-83-8,THYMOL,Green (Herbal),No description available,C10 O1,Phenol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.22,2.82,CC1=CC(=C(C=C1)C(C)C)O
1PS00442,Thymol from PerfumersWorld,89-83-8,THYMOL,Green (Herbal),No description available,C10 O1,Phenol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.22,2.82,CC1=CC(=C(C=C1)C(C)C)O
3WW07134,Timberol from PerfumersWorld,70788-30-6,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",Woods (Dry Amber),Base,C15 O1,Secondary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),226.4,4.39,CCCC(CCC1C(CCCC1(C)C)C)O
8F3094001702,Timberol from SimpleScentsDIY,70788-30-6,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",Woods (Dry Amber),Base,C15 O1,Secondary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),226.4,4.39,CCCC(CCC1C(CCCC1(C)C)C)O
5XA09242,Tonalide 10% in DPG from PerfumersWorld,1506-02-1,Tonalide,Musk,No description available,C18 O1,Ketone,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),258.4,4.79,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C
1XA00444,Tonalide from PerfumersWorld,1506-02-1,Tonalide,Musk,No description available,C18 O1,Ketone,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),258.4,4.79,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C
4SP12754,Toscanol from PerfumersWorld,16510-27-3,1-(cyclopropylmethyl)-4-methoxybenzene,Anise,No description available,C11 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),162.23,2.65,COC1=CC=C(C=C1)CC2CC2
5GH07673,Trans-2-cis-6-nonadienoal 1% in DPG from PerfumersWorld,557-48-2,"trans-2,cis-6-Nonadienal",Green,No description available,C9 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),138.21,2.49,CCC=CCCC=CC=O
8F3094001788,Trifernal from SimpleScentsDIY,16251-77-7,3-Phenylbutyraldehyde,Green,No description available,C10 O1,Aldehyde,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),148.2,2.38,CC(CC=O)C1=CC=CC=C1
5GH07509,Triplal 10% in DPG from PerfumersWorld,68039-49-6,Ligustral,Fruit (Apple),Top,C9 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),138.21,2.18,CC1C=C(CCC1C=O)C
4GH00450,Triplal from PerfumersWorld,68039-49-6,Ligustral,Fruit (Apple),Top,C9 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),138.21,2.18,CC1C=C(CCC1C=O)C
8F3094001650,Triplal from SimpleScentsDIY,68039-49-6,Ligustral,Fruit (Apple),Top,C9 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),138.21,2.18,CC1C=C(CCC1C=O)C
4IG07330,Undecavertol from PerfumersWorld,81782-77-6,4-Methyl-3-decen-5-ol,Green,No description available,C11 O1,Secondary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),170.3,3.28,CCCCCC(C(=CCC)C)O
8F3094001651,Undecavertol from SimpleScentsDIY,81782-77-6,4-Methyl-3-decen-5-ol,Green,No description available,C11 O1,Secondary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),170.3,3.28,CCCCCC(C(=CCC)C)O
5FD11577,Valeraldehyde Iso 1% in DPG from PerfumersWorld,590-86-3,3-Methylbutanal,Fruit (Apple),No description available,C5 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),86.13,1.23,CC(C)CC=O
5FD19193,Valeraldehyde Iso 1% in TEC from PerfumersWorld,590-86-3,3-Methylbutanal,Fruit (Apple),No description available,C5 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),86.13,1.23,CC(C)CC=O
8F3094004217,Vanillin (Powder) from SimpleScentsDIY,121-33-5,vanillin,Gourmet (Sweet),Base,C8 O3,"Aldehyde, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),152.15,1.21,COC1=C(C=CC(=C1)C=O)O
5VW07530,Vanillin 10% in DPG from PerfumersWorld,121-33-5,vanillin,Gourmet (Sweet),Base,C8 O3,"Aldehyde, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),152.15,1.21,COC1=C(C=CC(=C1)C=O)O
1VW00456,Vanillin from PerfumersWorld,121-33-5,vanillin,Gourmet (Sweet),Base,C8 O3,"Aldehyde, Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),152.15,1.21,COC1=C(C=CC(=C1)C=O)O
3LH00459,Veloutone from PerfumersWorld,65443-14-3,"2,2,5-Trimethyl-5-pentylcyclopentanone",Fruity,No description available,C13 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.33,3.96,CCCCCC1(CCC(C1=O)(C)C)C
8F3094001790,Veloutone from SimpleScentsDIY,65443-14-3,"2,2,5-Trimethyl-5-pentylcyclopentanone",Fruity,No description available,C13 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.33,3.96,CCCCCC1(CCC(C1=O)(C)C)C
4XU11429,Velvione from PerfumersWorld,37609-25-9,5-Cyclohexadecen-1-one,Musk,No description available,C16 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),236.4,5.2,C1CCCCCC(=O)CCCC=CCCCC1
4NM04579,Verdantiol from PerfumersWorld,91-51-0,DTXSID2052609,Floral,No description available,C21 O2 N2,Ester,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),338.45,5.49,CC(CC1=CC=C(C=C1)C(C)(C)C)N=NC2=CC=CC=C2C(=O)OC
3FG00463,Verdox from PerfumersWorld,88-41-5,2-tert-Butylcyclohexyl acetate,Fruity,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),198.31,3.15,CC(=O)OC1CCCCC1C(C)(C)C
8F3094001482,Verdox from SimpleScentsDIY,88-41-5,2-tert-Butylcyclohexyl acetate,Fruity,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),198.31,3.15,CC(=O)OC1CCCCC1C(C)(C)C
3LJ01926,Verdyl Acetate from PerfumersWorld,2500-83-6,"4,7-Methano-1H-inden-5-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",Green (Gemstone),Heart,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.26,2.15,CC(=O)OC1CC2CC1C3C2CC=C3
3LN08954,Verdyl Propionate from PerfumersWorld,17511-60-3,Tricyclodecenyl propionate,Green (Herbal),No description available,C13 O2,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),206.28,2.54,CCC(=O)OC1CC2CC1C3C2C=CC3
3LW00464,Vertenex from PerfumersWorld,32210-23-4,4-tert-Butylcyclohexyl acetate,Woods,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),198.31,3.15,CC(=O)OC1CCC(CC1)C(C)(C)C
8F3094001837,Vertenex from SimpleScentsDIY,32210-23-4,4-tert-Butylcyclohexyl acetate,Woods,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),198.31,3.15,CC(=O)OC1CCC(CC1)C(C)(C)C
3WY00465,Vertofix Couer from PerfumersWorld,32388-55-9,Acetyl cedrene,Woods,No description available,C17 O1,Ketone,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),246.39,4.37,CC1CCC2C13CC(C2(C)C)C(=C(C3)C(=O)C)C
8F3094001835,Vertofix from SimpleScentsDIY,32388-55-9,Acetyl cedrene,Woods,No description available,C17 O1,Ketone,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),246.39,4.37,CC1CCC2C13CC(C2(C)C)C(=C(C3)C(=O)C)C
8F3094004192,Vetikon from SimpleScentsDIY,7403-42-1,4-Methyl-4-phenylpentan-2-one,Green,No description available,C12 O1,Ketone,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),176.26,2.94,CC(=O)CC(C)(C)C1=CC=CC=C1
4WL15944,Vetival from PerfumersWorld,4927-39-3,4-Cyclohexyl-4-methyl-pentan-2-one,Floral,No description available,C12 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),182.31,3.57,CC(=O)CC(C)(C)C1CCCCC1
8F3094001648,Vetival from SimpleScentsDIY,4927-39-3,4-Cyclohexyl-4-methyl-pentan-2-one,Floral,No description available,C12 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),182.31,3.57,CC(=O)CC(C)(C)C1CCCCC1
3WY00468,Vetiveryl Acetate from PerfumersWorld,62563-80-8,Vetiveryl acetate,Woods,No description available,C17 O2,Ester,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),262.39,4.27,CC1CC(C=C(C2C1CC(=C(C)C)C2)C)OC(=O)C
8F3094005335,Violiff from SimpleScentsDIY,87731-18-8,"Carbonic acid, 4-cycloocten-1-yl methyl ester",Floral,No description available,C10 O3,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),184.23,2.66,COC(=O)OC1CCCC=CCC1
8F3094001555,Viridine (PADMA) from SimpleScentsDIY,101-48-4,Phenylacetaldehyde dimethyl acetal (PADMA),Green (Harsh),Top,C10 O2,Acetal,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),166.22,1.85,COC(CC1=CC=CC=C1)OC
5WU21414,Z11 HD 8.5 from PerfumersWorld,57345-19-4,"5H-3,5a-Epoxynaphth[2,1-c]oxepin, dodecahydro-3,8,8,11a-tetramethyl-",Amber,No description available,C18 O2,Ketal,Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),278.44,4.52,CC1(CCCC2(C1CCC34C2CCC(O3)(OC4)C)C)C
3XA22378,Zenolide from PerfumersWorld,54982-83-1,"1,4-DIOXACYCLOHEXADECANE-5,16-DIONE",Musk,No description available,C14 O4,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),256.34,2.99,C1CCCCCC(=O)OCCOC(=O)CCCC1
5GG07890,cis-3 Hexenol 10% in DPG from PerfumersWorld,928-96-1,cis-3-Hexen-1-ol,Green (Cut Grass),Top,C6 O1,Primary Alcohol,Aliphatic,No,Top Note,Standard (Alcohol Compatible),100.16,1.33,CCC=CCCO
4GL00225,cis-3 Hexenol from PerfumersWorld,928-96-1,cis-3-Hexen-1-ol,Green (Cut Grass),Top,C6 O1,Primary Alcohol,Aliphatic,No,Top Note,Standard (Alcohol Compatible),100.16,1.33,CCC=CCCO
5GF07561,cis-3 Hexenyl Acetate 10% in DPG from PerfumersWorld,3681-71-8,cis-3-Hexenyl acetate,Green,No description available,C8 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),142.2,1.91,CCC=CCCOC(=O)C
4GF00226,cis-3 Hexenyl Acetate from PerfumersWorld,3681-71-8,cis-3-Hexenyl acetate,Green,No description available,C8 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),142.2,1.91,CCC=CCCOC(=O)C
3GN00227,cis-3 Hexenyl Benzoate from PerfumersWorld,25152-85-6,cis-3-Hexenyl benzoate,Green,No description available,C13 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),204.27,3.2,CCC=CCCOC(=O)C1=CC=CC=C1
5GD08173,cis-3 Hexenyl Butyrate 10% in DPG from PerfumersWorld,16491-36-4,cis-3-Hexenyl butyrate,Green,No description available,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),170.25,2.69,CCCC(=O)OCCC=CCC
4GD00228,cis-3 Hexenyl Butyrate from PerfumersWorld,16491-36-4,cis-3-Hexenyl butyrate,Green,No description available,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),170.25,2.69,CCCC(=O)OCCC=CCC
4GG01946,cis-3 Hexenyl Hexanoate from PerfumersWorld,31501-11-8,cis-3-Hexenyl hexanoate,Green,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),198.31,3.47,CCCCCC(=O)OCCC=CCC
5GO12259,cis-3 Hexenyl Salicylate 10% in DPG from PerfumersWorld,65405-77-8,3-Hexenyl salicylate,Floral (Green),Heart,C13 O3,Salicylate,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),220.27,2.91,CCC=CCCOC(=O)C1=CC=CC=C1O
3GO00229,cis-3 Hexenyl Salicylate from PerfumersWorld,65405-77-8,3-Hexenyl salicylate,Floral (Green),Heart,C13 O3,Salicylate,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),220.27,2.91,CCC=CCCOC(=O)C1=CC=CC=C1O
5JN07525,cis-Jasmone 10% in DPG from PerfumersWorld,488-10-8,cis-Jasmone,Floral,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),164.25,3.02,CCC=CCC1=C(C)C(=O)CC1
4JN00257,cis-Jasmone from PerfumersWorld,488-10-8,cis-Jasmone,Floral,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),164.25,3.02,CCC=CCC1=C(C)C(=O)CC1
5PP11272,para-Cresol 10% in DPG from PerfumersWorld,106-44-5,P-CRESOL,Woods (Agarwood),Base,C7 O1,Phenol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),108.14,1.7,CC1=CC=C(C=C1)O
9PP00348,para-Cresol from PerfumersWorld,106-44-5,P-CRESOL,Woods (Agarwood),Base,C7 O1,Phenol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),108.14,1.7,CC1=CC=C(C=C1)O
5PN11524,para-Cresyl Acetate 10% in DPG from PerfumersWorld,140-39-6,p-Tolyl acetate,Floral,No description available,C9 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.18,1.92,CC1=CC=C(C=C1)OC(=O)C
9PP01951,para-Cresyl Acetate from PerfumersWorld,140-39-6,p-Tolyl acetate,Floral,No description available,C9 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.18,1.92,CC1=CC=C(C=C1)OC(=O)C
5PN08178,para-Cresyl Methyl Ether 10% in DPG from PerfumersWorld,104-93-8,4-Methylanisole,Phenolic,No description available,C8 O1,Ether,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),122.17,2.0,CC1=CC=C(C=C1)OC
4PP00350,para-Cresyl Methyl Ether from PerfumersWorld,104-93-8,4-Methylanisole,Phenolic,No description available,C8 O1,Ether,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),122.17,2.0,CC1=CC=C(C=C1)OC
5PN07817,para-Cresyl Phenyl Acetate 10% in DPG from PerfumersWorld,101-94-0,p-Tolyl phenylacetate,Animalic,No description available,C15 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),226.28,3.14,CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2
1PF01952,para-Cresyl Phenyl Acetate from PerfumersWorld,101-94-0,p-Tolyl phenylacetate,Animalic,No description available,C15 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),226.28,3.14,CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2
3NP02253,para-Methyl Acetophenone from PerfumersWorld,122-00-9,4'-Methylacetophenone,Floral,No description available,C9 O1,Ketone,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),134.18,2.2,CC1=CC=C(C=C1)C(=O)C
8B23094000189-1,โพรไพลีน ไกลคอล (Propylene Glycol) from SimpleScentsDIY,57-55-6,propylene glycol,Unclassified,No description available,C3 O2,"Primary Alcohol, Secondary Alcohol",Aliphatic,No,Top Note,Hydrophilic (Water Compatible),76.09,-0.64,CC(CO)O
8B23094000943,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,25265-71-8,Dipropylenglykol,Gourmet (Nutty),Top,C12 O6,"Ether, Primary Alcohol, Secondary Alcohol",Aliphatic,No,Base Note,Hydrophilic (Water Compatible),268.35,-0.47,CC(CO)OC(C)CO.CC(COCC(C)O)O
